,Country,Region,Year,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
68,Afghanistan,Asia,2000,129.2,310.8305,0.02,62,21.7,24,24,0.02,148,2.2,0,1,55.8
69,Kuwait,Middle East,2011,10.0,64.969,0.0,99,29.1,99,99,0.13,33167,7.0,0,1,74.6
70,Kenya,Africa,2011,55.5,260.375,1.47,96,22.9,97,96,1.8,1357,6.2,0,1,61.9
71,Germany,European Union,2004,4.9,86.3185,11.83,88,26.0,96,96,0.08,35034,12.9,1,0,78.7
72,Argentina,South America,2014,12.1,118.5375,7.93,94,27.5,92,94,0.13,13568,9.8,0,1,75.9
73,Panama,Central America and Caribbean,2008,21.1,124.016,6.0,86,26.3,86,86,0.4,9894,9.2,0,1,76.4
74,Oman,Middle East,2015,11.2,89.1875,0.45,99,26.3,99,99,0.05,18445,9.5,0,1,76.9
75,France,European Union,2014,4.1,74.8905,12.07,83,25.0,98,98,0.1,36379,11.4,1,0,82.7
76,Bosnia and Herzegovina,Rest of Europe,2011,6.9,101.667,4.71,88,25.4,89,88,0.08,4185,7.2,0,1,76.2
77,Mauritania,Africa,2002,111.5,227.5,0.012,61,23.9,91,89,0.45,1234,3.1,0,1,60.9
78,Somalia,Africa,2008,166.5,331.401,0.0,42,22.7,40,31,0.13,265,2.1,0,1,53.3
79,Azerbaijan,Asia,2011,34.9,134.006,0.6,84,26.5,91,87,0.08,5153,10.7,0,1,71.2
80,Maldives,Asia,2007,17.6,79.101,1.51,98,24.1,98,98,0.17,8535,3.9,0,1,74.6
81,Armenia,Rest of Europe,2012,16.4,129.837,3.89,95,26.1,96,95,0.08,3313,11.3,0,1,73.8
82,Ghana,Africa,2009,72.3,261.2595,1.26,94,23.5,94,94,1.06,1348,6.7,0,1,60.6
83,Somalia,Africa,2006,172.0,337.337,0.0001,42,22.5,26,26,0.13,237,2.1,0,1,52.7
84,Switzerland,Rest of Europe,2014,4.3,49.998,9.62,88,25.1,96,96,0.05,84348,13.4,1,0,83.2
85,Argentina,South America,2005,16.5,131.475,7.6,88,26.6,95,98,0.15,11192,9.1,0,1,74.5
86,Guinea-Bissau,Africa,2010,114.5,287.62,3.06,83,23.0,82,83,2.41,586,2.6,0,1,54.6
87,Solomon Islands,Oceania,2000,30.7,228.169,0.71,81,24.9,88,86,0.17,1939,4.6,0,1,67.4
88,"Congo, Dem. Rep.",Africa,2000,159.3,344.252,2.05,69,20.7,42,40,1.07,351,3.3,0,1,50.0
89,Namibia,Africa,2010,49.1,412.4735,1.4,83,23.8,83,83,5.85,4147,6.2,0,1,56.7
90,Russian Federation,Rest of Europe,2004,14.9,317.967,11.5,96,25.9,98,97,0.08,6857,11.4,0,1,65.5
91,Japan,Asia,2003,4.0,70.306,7.82,83,22.5,97,97,0.17,31830,11.0,1,0,81.8
92,Mauritania,Africa,2004,109.7,223.7,0.014,61,24.1,68,70,0.4,1307,3.3,0,1,61.2
93,Eswatini,Africa,2007,103.8,579.801,6.34,92,26.1,88,87,18.67,3175,5.3,0,1,43.3
94,Nigeria,Africa,2011,133.1,372.383,4.99,46,23.0,48,48,0.73,2464,5.5,0,1,51.3
95,United Arab Emirates,Middle East,2002,10.6,92.432,1.6,92,27.3,94,94,0.13,56815,8.6,0,1,74.8
96,Burundi,Africa,2005,124.9,346.6695,6.07,87,21.0,82,87,0.83,296,2.3,0,1,53.4
97,Tajikistan,Asia,2006,51.9,155.062,0.56,88,24.7,76,83,0.07,662,10.5,0,1,66.8
98,Honduras,Central America and Caribbean,2000,37.0,171.706,2.47,93,24.8,88,94,0.53,1790,4.3,0,1,70.7
99,Colombia,South America,2008,19.5,151.1495,4.35,92,25.5,92,92,0.19,4992,7.3,0,1,75.0
100,"Gambia, The",Africa,2009,76.8,277.4475,3.05,97,23.3,97,98,1.29,733,2.7,0,1,59.3
101,Madagascar,Africa,2015,59.0,218.4575,0.86,69,21.3,68,69,0.24,467,6.1,0,1,65.5
102,Iceland,Rest of Europe,2003,3.5,58.787,6.52,88,25.7,97,97,0.03,43764,9.8,1,0,81.0
103,Morocco,Africa,2002,48.0,140.5375,0.46,92,24.8,94,94,0.06,1905,3.6,0,1,69.8
104,Pakistan,Asia,2011,85.0,166.204,0.04,74,23.5,63,74,0.13,1246,4.8,0,1,65.6
105,Bolivia,South America,2009,44.1,204.4305,3.64,93,25.7,92,93,0.18,2455,7.9,0,1,67.5
106,Cambodia,Asia,2006,59.7,214.084,1.18,80,21.2,80,80,0.3,760,3.6,0,1,63.9
107,Malaysia,Asia,2006,8.1,129.376,0.45,95,24.6,95,95,0.2,7531,8.2,0,1,73.7
108,Romania,European Union,2006,16.6,159.0955,9.89,99,25.5,97,97,0.04,6846,10.3,1,0,72.2
109,Dominican Republic,Central America and Caribbean,2008,35.5,173.0485,5.91,81,25.7,86,82,0.59,5410,7.2,0,1,71.6
110,Norway,Rest of Europe,2015,2.7,53.897,5.97,88,26.6,95,95,0.04,74356,12.5,1,0,82.3
111,Italy,European Union,2005,4.5,64.2915,8.65,96,25.6,97,95,0.09,33258,9.2,1,0,80.8
112,Vietnam,Asia,2015,21.8,124.547,2.98,97,21.7,97,97,0.12,2582,8.0,0,1,75.1
113,Albania,Rest of Europe,2007,17.1,82.6975,5.46,98,25.8,99,98,0.03,3045,9.2,0,1,75.6
114,Oman,Middle East,2013,11.3,92.6785,0.44,98,26.1,99,98,0.05,19654,8.9,0,1,76.4
115,Czechia,European Union,2001,5.2,121.6575,13.64,92,26.5,97,98,0.08,12735,10.9,1,0,75.2
116,Tonga,Oceania,2002,16.0,155.0705,1.5,88,31.4,90,84,0.17,3952,9.1,0,1,69.8
117,"Congo, Rep.",Africa,2001,111.1,420.18,0.9,71,22.1,32,31,2.41,2080,5.6,0,1,52.5
118,Slovenia,European Union,2010,3.2,86.192,10.33,88,26.1,96,96,0.02,20613,12.1,1,0,79.4
119,Gabon,Africa,2001,81.4,321.9725,9.27,70,23.8,44,45,3.6,7867,6.3,0,1,58.0
120,Zambia,Africa,2014,68.3,309.5495,4.22,86,22.4,78,86,4.77,1341,6.9,0,1,60.8
121,Eswatini,Africa,2015,57.2,434.821,7.49,90,26.8,84,90,14.3,3680,6.5,0,1,55.4
122,Togo,Africa,2000,119.9,331.9545,1.08,81,22.0,63,64,2.97,506,4.0,0,1,53.5
123,Dominican Republic,Central America and Caribbean,2014,35.0,163.0145,5.23,89,26.3,90,91,0.4,6547,7.8,0,1,73.0
124,"Egypt, Arab Rep.",Africa,2001,43.9,174.899,0.13,99,27.8,99,99,0.13,2652,4.9,0,1,68.8
125,Papua New Guinea,Oceania,2014,52.4,227.218,1.35,67,25.4,43,73,0.4,2565,4.3,0,1,63.2
126,Ireland,European Union,2000,7.1,94.6415,13.84,95,26.3,86,86,0.04,41623,10.8,1,0,76.5
127,Bhutan,Asia,2010,42.4,227.3425,0.23,91,23.3,92,91,0.16,2235,2.3,0,1,68.4
128,Comoros,Africa,2001,100.2,270.665,0.1,71,22.9,70,70,0.02,1188,3.0,0,1,59.5
129,Chile,South America,2014,8.1,90.433,7.92,95,27.8,95,95,0.19,13367,10.1,0,1,79.5
130,Syrian Arab Republic,Middle East,2006,19.3,115.127,0.75,83,27.4,83,80,0.13,1550,6.2,0,1,74.4
131,Cambodia,Asia,2009,47.5,198.62,1.42,92,21.5,95,94,0.19,855,3.7,0,1,66.0
132,Serbia,Rest of Europe,2004,9.7,145.094,9.17,89,25.5,96,88,0.01,4162,10.0,0,1,72.7
133,Belgium,European Union,2002,5.4,95.81,11.29,60,25.6,96,95,0.08,36393,10.3,1,0,78.1
134,Belize,Central America and Caribbean,2004,21.3,190.602,6.07,97,27.8,97,97,1.48,4830,10.3,0,1,69.7
135,Costa Rica,Central America and Caribbean,2000,13.1,98.9985,4.24,89,25.8,80,88,0.13,7678,8.0,0,1,77.5
136,Romania,European Union,2007,15.2,155.9065,11.06,99,25.6,96,96,0.04,7450,10.5,1,0,72.6
137,Cuba,Central America and Caribbean,2008,6.7,96.542,4.25,95,25.1,99,95,0.15,6501,10.6,0,1,78.2
138,Honduras,Central America and Caribbean,2014,20.0,147.875,2.42,97,26.5,99,97,0.06,2256,6.2,0,1,74.3
139,Trinidad and Tobago,Central America and Caribbean,2007,24.4,184.093,6.03,89,26.7,90,88,0.4,18076,10.5,0,1,71.2
140,Botswana,Africa,2004,72.7,528.2495,4.91,91,23.9,96,96,13.43,4860,8.1,0,1,51.2
141,St. Vincent and the Grenadines,Central America and Caribbean,2005,21.5,173.295,6.37,99,26.0,93,99,0.4,6465,7.9,0,1,71.3
142,Bolivia,South America,2003,63.3,227.5185,2.32,80,25.1,82,88,0.2,2083,7.1,0,1,64.2
143,Paraguay,South America,2002,32.3,166.295,4.81,89,25.1,87,87,0.18,3725,6.5,0,1,71.0
144,"Bahamas, The",Central America and Caribbean,2014,14.3,160.15,9.22,96,27.8,96,96,0.34,31689,11.1,0,1,72.8
145,Costa Rica,Central America and Caribbean,2004,11.5,96.3765,4.08,89,26.2,90,90,0.15,8395,7.9,0,1,78.0
146,Malta,European Union,2001,7.5,62.98,5.99,86,26.9,95,95,0.08,16860,8.2,1,0,78.8
147,Malawi,Africa,2000,174.6,570.551,1.36,79,21.7,73,75,9.54,294,3.0,0,1,45.1
148,Finland,European Union,2006,3.6,94.799,10.15,88,25.9,97,97,0.08,44074,12.0,1,0,79.2
149,Montenegro,Rest of Europe,2007,8.9,126.1335,9.68,90,25.8,92,92,0.03,5798,10.8,0,1,74.3
150,"Egypt, Arab Rep.",Africa,2004,37.5,171.3545,0.14,97,28.1,97,97,0.13,2759,5.4,0,1,69.3
151,United Arab Emirates,Middle East,2010,8.7,74.296,1.69,94,28.0,94,94,0.13,32535,9.9,0,1,76.3
152,Iceland,Rest of Europe,2006,3.1,64.745,7.2,88,25.9,97,97,0.03,50732,10.2,1,0,81.2
153,Malaysia,Asia,2013,8.0,124.668,0.55,96,25.4,97,97,0.15,9179,10.1,0,1,75.1
154,Antigua and Barbuda,Central America and Caribbean,2002,14.6,152.267,6.67,99,25.3,93,98,0.1,13171,9.0,0,1,74.4
155,Central African Republic,Africa,2002,165.8,551.1775,1.6,45,21.7,42,44,3.64,477,3.0,0,1,44.1
156,Timor-Leste,Oceania,2013,54.2,154.7555,0.48,82,21.0,82,82,0.09,1287,4.5,0,1,68.0
157,Serbia,Rest of Europe,2010,7.6,127.7695,8.87,89,25.8,91,91,0.02,5206,10.4,0,1,74.3
158,Hungary,European Union,2001,9.6,185.7405,13.18,88,26.0,99,99,0.08,9357,10.3,1,0,72.2
159,Malaysia,Asia,2005,8.2,129.6545,0.49,96,24.5,96,96,0.21,7275,7.6,0,1,73.6
160,Botswana,Africa,2015,49.7,248.595,6.14,95,24.3,96,95,5.81,6403,9.2,0,1,67.3
161,Chad,Africa,2005,166.9,404.29,0.46,27,21.3,37,25,0.96,676,1.5,0,1,48.5
162,Malawi,Africa,2002,145.5,591.4675,1.25,64,21.9,79,64,8.06,271,3.2,0,1,45.5
163,Sierra Leone,Africa,2012,147.3,410.143,3.19,91,22.6,91,91,0.94,627,3.2,0,1,51.0
164,Mali,Africa,2005,156.4,302.4025,0.55,83,22.1,78,77,0.76,688,1.7,0,1,52.1
165,Bangladesh,Asia,2007,57.8,147.641,0.004,95,20.8,96,94,0.01,856,4.7,0,1,68.6
166,Latvia,European Union,2015,5.0,160.237,10.8,94,26.6,94,95,0.29,13786,12.8,1,0,74.5
167,Angola,Africa,2002,191.5,350.8275,2.08,67,21.9,22,41,1.39,2031,4.4,0,1,47.7
168,Jamaica,Central America and Caribbean,2003,20.7,162.465,3.43,98,25.9,99,96,0.83,5083,7.8,0,1,74.1
169,Zambia,Africa,2005,106.2,521.085,2.41,82,21.8,84,82,7.69,918,6.3,0,1,48.5
170,Kyrgyz Republic,Asia,2002,45.2,223.718,5.84,99,24.9,99,98,0.04,742,10.0,0,1,68.2
171,Zimbabwe,Africa,2000,95.5,687.993,1.89,79,23.3,78,78,12.86,1697,6.5,0,1,44.6
172,China,Asia,2003,28.8,105.496,2.89,75,22.6,87,86,0.1,2797,6.7,0,1,72.4
173,Nepal,Asia,2015,35.5,154.604,0.24,91,22.4,90,91,0.17,902,4.7,0,1,69.5
174,Chad,Africa,2004,170.4,407.207,0.42,27,21.2,31,21,1.04,598,1.4,0,1,48.3
175,Afghanistan,Asia,2014,73.6,231.978,0.01,62,23.2,62,62,0.03,565,3.5,0,1,63.0
176,Cuba,Central America and Caribbean,2001,8.5,109.7575,4.05,98,24.6,99,98,0.12,4222,9.7,0,1,76.9
177,Tanzania,Africa,2014,59.9,255.4665,7.43,97,23.1,97,97,2.12,920,5.6,0,1,62.3
178,Ecuador,South America,2013,16.6,127.577,3.78,87,26.9,87,87,0.16,6084,8.3,0,1,75.7
179,Djibouti,Africa,2011,74.4,265.328,0.39,87,23.9,87,87,0.39,1452,4.0,0,1,60.7
180,Slovenia,European Union,2003,4.7,117.617,11.55,88,25.6,95,95,0.03,17803,11.5,1,0,76.9
181,Grenada,Central America and Caribbean,2004,14.7,168.877,8.68,83,25.8,84,83,0.4,7578,7.7,0,1,73.1
182,"Congo, Dem. Rep.",Africa,2015,95.9,260.0235,4.47,81,21.9,78,81,0.35,497,6.4,0,1,59.3
183,Cuba,Central America and Caribbean,2002,8.2,108.1925,4.1,98,24.7,98,99,0.13,4269,9.5,0,1,77.1
184,Maldives,Asia,2013,11.3,72.3455,1.16,99,25.0,99,99,0.17,8955,5.7,0,1,77.0
185,Cote d'Ivoire,Africa,2004,129.5,453.5475,0.85,67,23.0,76,67,2.65,1583,3.6,0,1,49.8
186,Nigeria,Africa,2001,177.3,408.9835,11.17,29,22.4,36,27,1.29,1499,5.2,0,1,46.5
187,Nicaragua,Central America and Caribbean,2008,26.1,166.1845,3.59,97,26.5,97,97,0.12,1709,5.8,0,1,71.9
188,Grenada,Central America and Caribbean,2006,14.6,163.5385,9.26,91,26.0,91,91,0.4,8195,7.9,0,1,73.1
189,Iraq,Middle East,2007,38.1,187.6105,0.15,56,27.7,74,57,0.13,3627,6.1,0,1,68.1
190,Myanmar,Asia,2007,71.8,219.9305,0.75,85,21.8,84,86,0.42,682,3.8,0,1,62.3
191,Panama,Central America and Caribbean,2007,21.7,125.1955,5.46,85,26.2,84,85,0.4,9169,9.2,0,1,76.2
192,Bahrain,Middle East,2011,8.2,70.3255,1.66,99,25.0,99,99,0.05,20774,8.6,0,1,76.2
193,Djibouti,Africa,2001,98.6,321.3015,1.33,88,23.6,49,53,2.19,781,3.3,0,1,57.1
194,Japan,Asia,2004,3.9,68.9285,7.69,83,22.6,97,99,0.17,32515,11.1,1,0,82.0
195,Namibia,Africa,2004,74.4,496.836,1.89,83,23.3,81,81,9.29,3647,5.9,0,1,50.6
196,Cabo Verde,Africa,2001,34.4,149.3995,3.86,66,23.4,91,90,0.39,1983,3.7,0,1,69.1
197,Uganda,Africa,2003,123.5,485.3535,11.37,44,21.4,57,59,4.15,573,4.3,0,1,49.4
198,Kazakhstan,Asia,2007,26.8,267.527,3.99,94,25.9,94,93,0.09,8438,11.6,0,1,66.3
199,St. Lucia,Central America and Caribbean,2012,20.4,141.425,9.62,98,29.1,98,98,0.4,10531,8.4,0,1,75.1
200,Cabo Verde,Africa,2000,38.1,157.104,3.49,66,23.3,90,90,0.39,1974,3.5,0,1,68.6
201,Germany,European Union,2008,4.4,79.5175,11.37,87,26.2,95,96,0.08,38278,13.7,1,0,79.7
202,Belarus,Rest of Europe,2015,4.1,163.872,9.79,99,26.6,99,99,0.22,5967,12.2,0,1,73.6
203,Honduras,Central America and Caribbean,2010,23.3,153.912,2.69,97,26.1,97,97,0.08,2121,5.4,0,1,73.3
204,Senegal,Africa,2005,91.8,237.7735,0.34,84,22.5,84,84,0.49,1134,2.4,0,1,60.6
205,Cameroon,Africa,2007,121.0,371.415,5.22,82,23.8,81,82,2.43,1249,5.2,0,1,53.7
206,Philippines,Asia,2012,30.9,204.619,4.96,88,22.9,88,88,0.06,2611,9.1,0,1,70.1
207,Maldives,Asia,2009,14.9,77.1955,1.41,98,24.4,98,98,0.17,8222,4.7,0,1,75.5
208,Nicaragua,Central America and Caribbean,2006,28.5,173.308,3.64,88,26.4,88,88,0.13,1616,5.6,0,1,71.4
209,Mongolia,Asia,2003,49.1,260.269,1.67,98,24.6,98,98,0.02,1784,8.4,0,1,64.2
210,Iraq,Middle East,2001,43.5,165.8675,0.19,66,27.1,80,78,0.13,4284,5.2,0,1,69.0
211,Haiti,Central America and Caribbean,2011,77.4,257.386,2.36,60,24.7,67,68,0.83,1343,4.8,0,1,60.9
212,Uruguay,South America,2013,9.7,107.92,6.42,94,27.0,94,94,0.26,15168,8.5,0,1,77.1
213,Azerbaijan,Asia,2007,45.5,141.6765,0.95,62,26.1,81,79,0.15,4327,10.2,0,1,69.8
214,Pakistan,Asia,2002,102.4,185.0715,0.014,64,22.7,64,68,0.13,1040,3.8,0,1,63.3
215,Singapore,Asia,2000,3.9,80.151,2.02,97,23.4,98,98,0.14,34891,8.9,0,1,78.0
216,Angola,Africa,2015,88.1,242.9655,6.53,64,23.2,62,64,0.89,3128,5.0,0,1,59.4
217,Azerbaijan,Asia,2004,55.6,155.0385,0.63,50,25.9,78,77,0.2,2078,10.6,0,1,68.2
218,Solomon Islands,Oceania,2014,23.4,151.628,0.95,88,26.1,78,88,0.17,2195,5.3,0,1,71.9
219,Ukraine,Rest of Europe,2015,9.5,202.8,6.04,22,26.5,51,23,0.23,2125,11.3,0,1,71.2
220,Senegal,Africa,2006,85.2,233.387,0.37,89,22.5,89,89,0.42,1130,2.4,0,1,61.4
221,Bhutan,Asia,2012,38.0,220.149,0.32,97,23.5,97,97,0.14,2479,2.5,0,1,69.3
222,Azerbaijan,Asia,2012,32.5,132.0885,0.52,88,26.6,92,89,0.07,5195,10.7,0,1,71.5
223,Serbia,Rest of Europe,2003,10.5,147.6935,9.1,82,25.4,89,89,0.01,3808,9.9,0,1,72.4
224,Niger,Africa,2009,130.3,270.291,0.1,71,21.5,71,71,0.12,424,1.4,0,1,56.6
225,Haiti,Central America and Caribbean,2010,203.6,262.206,2.28,60,24.6,66,66,0.9,1297,4.7,0,1,60.5
226,Slovak Republic,European Union,2006,7.9,136.22,10.89,99,25.8,99,99,0.01,12396,10.9,1,0,74.2
227,"Bahamas, The",Central America and Caribbean,2007,16.5,174.6025,9.92,93,27.3,95,95,0.57,35697,10.9,0,1,72.0
228,Finland,European Union,2005,3.7,99.9665,9.95,88,25.9,97,97,0.08,42531,12.0,1,0,78.8
229,Denmark,European Union,2004,5.2,95.0035,11.26,88,25.1,95,95,0.04,50792,12.8,1,0,77.5
230,Tunisia,Africa,2010,18.4,98.3545,1.26,98,25.9,98,98,0.04,3955,6.7,0,1,75.0
231,Thailand,Asia,2007,15.6,168.9115,6.12,96,23.5,98,98,0.3,4827,7.1,0,1,72.9
232,France,European Union,2009,4.3,86.8955,12.66,51,25.0,98,98,0.1,35131,10.8,1,0,81.4
233,Samoa,Oceania,2013,18.9,117.105,1.84,60,31.8,81,67,0.17,3961,10.3,0,1,72.4
234,Nepal,Asia,2005,59.4,203.6355,0.22,41,21.2,78,75,0.17,616,2.8,0,1,65.3
235,Panama,Central America and Caribbean,2013,18.1,117.765,6.21,80,26.7,81,80,0.4,12695,9.7,0,1,77.4
236,Ireland,European Union,2011,4.1,68.994,11.49,95,27.2,95,95,0.07,46221,10.9,1,0,80.7
237,"Yemen, Rep.",Middle East,2001,90.3,251.422,0.08,19,22.4,73,73,0.02,2404,1.3,0,1,61.2
